audio_path,cefr_label,topic,transcript
/home/ap4617/TOEFLBOT/ToeflBot/icnale_audio/ICNALE_SM_Audio/ICNALE_SM_KOR_N400/SM_KOR_PTJ1_039_B1_1.mp3,B1,part-time employment," Yes, important is part-time job, I think, I agree, and part-time job is to get a one-day  need money or extend money, so pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay,  pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay, pay  You"
/home/ap4617/TOEFLBOT/ToeflBot/icnale_audio/ICNALE_SM_Audio/ICNALE_SM_TWN_N400/SM_TWN_SMK2_093_B1_1.mp3,B1,smoking in restaurants, I agree small pain should be complete then at all restaurants because it can affect  in that place customers to eat their food and small pain is not healthy  in itself or around it  it is I think that smell is so bad so I tend I don't I don't try to smoking that high
/home/ap4617/TOEFLBOT/ToeflBot/icnale_audio/ICNALE_SM_Audio/ICNALE_SM_TWN_N400/SM_TWN_PTJ1_046_B1_1.mp3,B1,part-time employment," Well, I think it is important for college students to starting hard at their subject,  but it is also important for college students to have a part-time job.  And if students have a part-time job, they can learn how to work or how to talk to somebody  who they have ever met, and they will learn so many experiences from part-time jobs.  So, it is awesome."
/home/ap4617/TOEFLBOT/ToeflBot/icnale_audio/ICNALE_SM_Audio/ICNALE_SM_TWN_N400/SM_TWN_SMK1_061_B1_1.mp3,B1,smoking in restaurants," I agree with that much.  Everyone knows smoking is not health for our body.  And the restaurants always have many people.  And everyone stays in the same space.  And we don't, because we have lunch or dinner,  so we will not left the restaurant.  So if you're smoking in the restaurant,  you will let everyone to...  You will let everyone..."
/home/ap4617/TOEFLBOT/ToeflBot/icnale_audio/ICNALE_SM_Audio/ICNALE_SM_JPN_N600/SM_JPN_PTJ2_092_B1_1.mp3,B1,part-time employment," I think the most important thing for students is to study very well with heart.  To study very hard with blood, it goes out.  So, it takes a lot of time.  Students must take the money to their parents.  So, time should be enough for them."
/home/ap4617/TOEFLBOT/ToeflBot/icnale_audio/ICNALE_SM_Audio/ICNALE_SM_TWN_N400/SM_TWN_SMK2_049_B1_1.mp3,B1,smoking in restaurants, I am absolutely to afraid of smoking should be company come absolutely restrict in the  country because it is harmful for humans and when the smoking it will have a bad image  and bad influence for people when and it will make people have a bad body on housing  and the smoking is not necessary for human being and I think we could have an outdoors
/home/ap4617/TOEFLBOT/ToeflBot/icnale_audio/ICNALE_SM_Audio/ICNALE_SM_PAK_N400/SM_PAK_SMK2_043_B1_1.mp3,B1,smoking in restaurants," Well, smoking must be banned in every restaurant and every public place, basically, restaurants.  They're for eating, they're not for smoking.  And when a smoker smokes, he not only harms himself, but the people around him, right?  So, when you go to the restaurant with your family, you have kids, you have some old people,  and when you all are non-smokers and a smoker is smoking.  So, to smoke when eventually it's you, when you smell that, it may cause several diseases.  Many people, they are a patient of Altima and they're allergic to smoke.  So, that may, you know, harm the person sitting next to you.  And according to some researchers, smoking, you know, millions of people, they die every day  just because of water, just because of smoking, right?  So, yes, it should be banned, especially on the public places, such as restaurants or family places.  So, smoking is not actually good, right? There isn't even a single advantage."
/home/ap4617/TOEFLBOT/ToeflBot/icnale_audio/ICNALE_SM_Audio/ICNALE_SM_TWN_N400/SM_TWN_SMK2_080_B1_1.mp3,B1,smoking in restaurants," I think the word try to stop and abandon people to smoke, but I think it's bad because the cigarette  industry is a huge industry and they make money and they have made workers work in cigarette  industry. So if you then the people didn't smoke and then you will be a lot of people  who've saved jobs. So I think you have to, the people have the right to smoke and you  have to have an area that people can smoke at there. So the industry will be good and  the people have a job. So they cannot be good because there's a lot of people."
/home/ap4617/TOEFLBOT/ToeflBot/icnale_audio/ICNALE_SM_Audio/ICNALE_SM_IDN_N400/SM_IDN_SMK1_076_B1_1.mp3,B1,smoking in restaurants," I agree with that statement because smoking is not only danger for the active smoker but  also the passage. The passage I meant of people who  the passage of smoking is not good for our lungs and our health.  It's not only danger for the active smoker  but also for the passage of the children, mother and"
/home/ap4617/TOEFLBOT/ToeflBot/icnale_audio/ICNALE_SM_Audio/ICNALE_SM_CHN_N600/SM_CHN_PTJ1_065_B1_1.mp3,B1,part-time employment," I agree with it. I think a college student should take a summer part-time job on the one hand.  They can get some money to improve their life.  And this summer, they put some meaningful things on the other hand.  On the other hand, they can take exercise for themselves to improve themselves  because when they get age, they also take part in the social."
/home/ap4617/TOEFLBOT/ToeflBot/icnale_audio/ICNALE_SM_Audio/ICNALE_SM_IDN_N400/SM_IDN_SMK1_058_B1_1.mp3,B1,smoking in restaurants," I believe that smoking is to be banned in public places.  Studies have found that smoking not only leads to a health problem for the smoker, but also for people close by a certain part of this.  We believe that smoking should not be allowed in public places, although there are arguments on both sides.  I strongly agree that a ban is the most appropriate course of action.  Smoking in public places should be banned for two reasons.  It can be hard to hear those who people thought, and it is very unpleasant to watch someone smoking.  Smoking can cause serious health problems to the smokers themselves and to those in health infections and smoke.  The bulk of smoke contains many harmful substance, including a lot of carcinogen and cocaine, which is adequate.  Smoking can cause cancer."
/home/ap4617/TOEFLBOT/ToeflBot/icnale_audio/ICNALE_SM_Audio/ICNALE_SM_TWN_N400/SM_TWN_SMK2_069_B1_1.mp3,B1,smoking in restaurants," The restaurant place is the Korean place, and the non-stroller smoker to the smoky restaurant.  And you can see it's not where everyone likes the smoker or the smoky pancake.  They didn't like her.  The smoker always with smoking.  The smiles are very good.  And they're not just for themselves.  It's a restaurant open place.  I've told everyone to make good enough.  Everyone not like her smoking smiles."
/home/ap4617/TOEFLBOT/ToeflBot/icnale_audio/ICNALE_SM_Audio/ICNALE_SM_TWN_N400/SM_TWN_PTJ2_067_B1_1.mp3,B1,part-time employment," I think it is very important for the college students to have an apartment job because they need to get more experience for their working job.  They need to learn how to communicate and company with their friends, crew workers, and their goals.  Also, I think the students need to be learning how to negotiate with the customer.  So when they graduate school, they will have the easy to find a job and also learn how to take responsibility for the work.  So I agree that a student has an apartment job is very important and it is very helpful for them.  So I think their family also need to support their child to have an apartment job and it is really helpful for their future after graduation."
/home/ap4617/TOEFLBOT/ToeflBot/icnale_audio/ICNALE_SM_Audio/ICNALE_SM_JPN_N600/SM_JPN_PTJ2_036_B1_1.mp3,B1,part-time employment," I agree with this opinion because I have two reasons for this year.  First, you can learn social skills, various social skills.  University students, I think that university students need to have social skills  because university students have to communicate with many people.  For example, foreign people or those who work in actual society.  I think that university students have to make money."
/home/ap4617/TOEFLBOT/ToeflBot/icnale_audio/ICNALE_SM_Audio/ICNALE_SM_JPN_N600/SM_JPN_PTJ1_112_B1_1.mp3,B1,part-time employment," I think it is important for students to have a part-time job, so students, by taking part-time  job, they can study about many things, but only study, but they say Japanese students  is too much study about, too much study, but they are not all, they don't know much about  society. So taking a part-time job, but also study about society, so taking a part-time job, but only study about society."
/home/ap4617/TOEFLBOT/ToeflBot/icnale_audio/ICNALE_SM_Audio/ICNALE_SM_IDN_N400/SM_IDN_SMK1_096_B1_1.mp3,B1,smoking in restaurants," I agree that smoke must be prohibited because personally I don't like the cigarette or the people who smoke, who smoking because I think the content of cigarette is really dangerous for health because it contains some of the dangerous substance  and there is some really dangerous for our body, especially for active smokers.  The active smokers, if active smokers consume so many kinds of dangerous substance, as I said before, if they consume for a long time,  they can elicit premature death, I'm sure."
/home/ap4617/TOEFLBOT/ToeflBot/icnale_audio/ICNALE_SM_Audio/ICNALE_SM_TWN_N400/SM_TWN_SMK1_033_B1_1.mp3,B1,smoking in restaurants," Yes, I definitely think that it is important thing to ban the smoking in the restaurant.  It is really necessary.  I can't accept anyone smoking in the restaurant.  I think that is really dirty thing and I don't want to smell any smoke in the restaurant  when I am eating, like dinner or lunch.  I also think that it is a rude behavior and it is really impolite.  If you are eating a delicious food in the restaurant but there is someone smoking beside  you then you have to smell this smoke all the time.  It was very annoying me and I think it is."
/home/ap4617/TOEFLBOT/ToeflBot/icnale_audio/ICNALE_SM_Audio/ICNALE_SM_IDN_N400/SM_IDN_SMK2_004_B1_1.mp3,B1,smoking in restaurants," I'm fairly agree if smoking smoke is bad, because it can be starting other people like old people's kids or pregnant women.  It can make them cannot breathe.  My hope is government should make a regulation that smokers should like smoking,  because it makes the air fluid and makes people around them not comfortable, because they smoke.  And also for younger people should not allow smoking, because it can make them become bad.  So that's why young people should not smoke.  And if smokers want to smoke, I think the government should make a rule to smoke, because some of the smokers are smoking in public places, not in..."
